Turma,Aluno,NP,NV,Período
2018110,20183001060,10,"7,6",1
2018110,20183001275,10,"4,4",1
2018110,20183001284,10,"8,8",1
2018110,20183001337,10,"7,2",1
2018110,20183001391,0,0,1
2018110,20183001551,10,"2,2",1
2018110,20183001669,"9,2","4,6",1
2018110,20183001909,"8,3","9,1",1
2018110,20183002183,10,"6,6",1
2018110,20183002218,0,0,1
2018110,20183002380,"9,5",10,1
2018110,20183002610,10,2,1
2018110,20183002906,10,"5,8",1
2018110,20183002960,--,--,1
2018110,20183003968,10,9,1
2018110,20183003986,"7,1",2,1
2018110,20183004259,"9,2","2,4",1
2018110,20183004286,10,"6,3",1
2018110,20183004320,10,"1,1",1
2018110,20183004526,10,"5,2",1
2018110,20183004535,10,10,1
2018110,20183004580,0,0,1
2018110,20183005130,10,0,1
2018110,20183005292,10,"3,5",1
2018110,20183005363,0,0,1
2018110,20183005588,10,"1,5",1
2018110,20183006431,"4,5",10,1
2018110,20183006825,"9,6",8,1
2018110,20183006988,10,"3,8",1
2018110,20183007072,0,0,1
2018110,20183007279,7,"8,9",1
2018110,20183008104,10,"0,2",1
2018110,20183017041,10,"7,6",1
2018110,20183000581,10,10,1
2018110,20183000438,0,0,1
2018110,20183000492,"7,2","7,4",1
2018110,20183000465,9,"8,2",1
2018130,20183000616,8,3,1
2018130,20183000643,"8,6","5,2",1
2018130,20183000652,"9,1",8,1
2018130,20183001293,"9,9","6,6",1
2018130,20183001767,"8,5","5,2",1
2018130,20183001865,--,--,1
2018130,20183001883,10,0,1
2018130,20183001918,9,3,1
2018130,20183002915,9,"9,5",1
2018130,20183003091,"9,5","2,3",1
2018130,20183003331,10,"5,5",1
2018130,20183003449,0,"3,1",1
2018130,20183003510,10,"6,8",1
2018130,20183003940,"9,5","1,6",1
2018130,20183004061,0,0,1
2018130,20183004419,7,"4,3",1
2018130,20183004858,"9,8",2,1
2018130,20183005185,0,0,1
2018130,20183005345,"8,5","2,2",1
2018130,20183005372,10,"2,2",1
2018130,20183005416,4,2,1
2018130,20183005935,"9,5",8,1
2018130,20183005953,10,5,1
2018130,20183006342,7,"4,3",1
2018130,20183007045,0,0,1
2018130,20183007591,0,0,1
2018130,20183020341,0,0,1
2018130,20183024814,"9,8","9,9",1
2018130,20183024823,"8,6","0,3",1
2018130,20183025160,"8,7","0,5",1
2018130,20183025428,0,"0,2",1
2018130,20183025455,"9,3",0,1
2018130,20183000474,0,0,1
2018140,20183000699,"6,5",8,1
2018140,20183001186,10,"2,4",1
2018140,20183001210,"3,7",0,1
2018140,20183002343,0,0,1
2018140,20183002460,10,"5,4",1
2018140,20183002497,"9,1",1,1
2018140,20183003672,0,0,1
2018140,20183003734,0,"0,5",1
2018140,20183003770,"9,9","5,9",1
2018140,20183003780,0,5,1
2018140,20183003823,9,"0,6",1
2018140,20183003841,"7,5","2,5",1
2018140,20183003995,10,"1,5",1
2018140,20183004339,10,"6,8",1
2018140,20183006271,10,"5,8",1
2018140,20183006413,0,10,1
2018140,20183006469,0,"0,2",1
2018140,20183006558,"8,2","1,1",1
2018140,20183006979,10,"3,5",1
2018140,20183026390,"7,3",9,1
2018150,20183000868,"9,7","6,6",1
2018150,20183003019,0,0,1
2018150,20183003117,"8,3",8,1
2018150,20183003850,"7,7","2,6",1
2018150,20183004366,10,7,1
2018150,20183004482,7,"8,2",1
2018150,20183005050,10,"9,9",1
2018150,20183005194,0,4,1
2018150,20183005514,"9,2","6,6",1
2018150,20183006709,10,"6,1",1
2018150,20183006718,10,"7,7",1
2018150,20183006905,3,8,1
2018150,20183006932,8,"3,5",1
2018150,20183007152,0,0,1
2018150,20183007260,0,"2,6",1
2018150,20183018156,"7,3",8,1
2018151,20183001711,10,"6,6",1
2018151,20183001810,0,"0,7",1
2018151,20183002263,10,"4,4",1
2018151,20183002272,"5,3","0,5",1
2018151,20183002316,10,"4,9",1
2018151,20183003135,8,"7,8",1
2018151,20183003583,10,8,1
2018151,20183004375,10,10,1
2018151,20183004384,3,9,1
2018151,20183004722,"9,2","6,8",1
2018151,20183004769,--,--,1
2018151,20183004778,"8,4","7,3",1
2018151,20183004787,0,"0,6",1
2018151,20183004992,9,10,1
2018151,20183005069,10,"8,1",1
2018151,20183005078,0,0,1
2018151,20183005087,10,"9,5",1
2018151,20183005102,"8,6","8,9",1
2018151,20183005336,0,10,1
2018151,20183005381,"9,1","3,4",1
2018151,20183005819,"8,8",10,1
2018151,20183005971,0,"8,5",1
2018151,20183006262,10,"6,3",1
2018151,20183006324,9,10,1
2018151,20183006567,"9,3","4,6",1
2018151,20183006834,9,3,1
2018151,20183007134,"7,1","5,3",1
2018151,20183007143,--,--,1
2018151,20183007439,"6,6","4,8",1
2018151,20183007528,8,"4,9",1
2018160,20183000760,"9,9",10,1
2018160,20183001364,"7,3","8,2",1
2018160,20183002076,"9,6","5,9",1
2018160,20183002399,0,0,1
2018160,20183002432,"2,7",6,1
2018160,20183002441,"9,6","4,8",1
2018160,20183002503,10,1,1
2018160,20183002530,10,"6,5",1
2018160,20183002586,"9,1","1,7",1
2018160,20183002601,0,2,1
2018160,20183002684,0,"4,9",1
2018160,20183002746,10,7,1
2018160,20183002791,10,"4,5",1
2018160,20183003224,0,0,1
2018160,20183003411,10,"7,7",1
2018160,20183003529,0,0,1
2018160,20183003565,"9,7","6,2",1
2018160,20183003627,9,"6,7",1
2018160,20183003663,8,5,1
2018160,20183004910,9,10,1
2018160,20183004938,10,"7,3",1
2018160,20183005480,"9,5","4,5",1
2018160,20183005980,0,0,1
2018160,20183006217,0,0,1
2018160,20183006370,10,10,1
2018160,20183006754,0,0,1
2018160,20183006772,0,0,1
2018160,20183006781,10,0,1
2018160,20183006870,9,10,1
2018160,20183007475,9,"4,5",1
2018101,20183000670,"9,5","6,3",2
2018101,20183000910,10,2,2
2018101,20183000948,10,0,2
2018101,20183001014,10,10,2
2018101,20183001050,"6,8",10,2
2018101,20183001103,10,2,2
2018101,20183001631,"7,5","5,3",2
2018101,20183001829,0,"9,8",2
2018101,20183002058,10,"3,3",2
2018101,20183002254,"8,3","5,9",2
2018101,20183000509,"8,9","6,3",2
2018101,20183002559,0,"1,4",2
2018101,20183002639,0,0,2
2018101,20183002853,10,"8,5",2
2018101,20183002998,5,"7,4",2
2018101,20183003206,10,2,2
2018101,20183003313,10,9,2
2018101,20183004034,0,0,2
2018101,20183004197,0,0,2
2018101,20183004240,"9,5","0,8",2
2018101,20183004553,10,"5,8",2
2018101,20183004811,10,"2,2",2
2018101,20183004894,10,"0,5",2
2018101,20183004929,0,"7,8",2
2018101,20183005425,0,"3,1",2
2018101,20183005748,"9,7","4,6",2
2018101,20183005793,"9,5",6,2
2018101,20183006020,10,"0,2",2
2018101,20183006226,10,0,2
2018101,20183006398,10,2,2
2018101,20183007027,10,3,2
2018101,20183007116,10,2,2
2018101,20183007340,10,"3,4",2
2018101,20183007500,10,"7,3",2
2018101,20183011549,"8,9","5,6",2
2018101,20183014021,10,"2,6",2
2018101,20183015790,10,5,2
2018101,20183016376,5,"6,6",2
